  Корень   Интервал
 1. 4.8845 [ 4, 5]
 2. 3.4273 [ 3, 4]
 3. 3.1736 [ 3, 4]
 4. 0.7050 [ 0, 1]
 5. 0.7492 [ 0, 1]
 6. 2.3586 [ 2, 3]
 7. 2.4769 [ 2, 3]
 8. 4.5886 [ 4, 5]
 9. 2.2401 [ 2, 3]
10. 4.6602 [ 4, 5]
11.-0.5326 [-1, 0]
12.-0.5416 [-1, 0]
13. 2.5551 [ 2, 3]
14. 7.7843 [ 7, 8]
15. 4.5851 [ 4, 5]
16. 2.2047 [ 2, 3]
17. 2.4483 [ 2, 3]
18.-2.7271 [-3,-2]
19. 3.9378 [ 3, 4]
20. 0.5348 [ 0, 1]
21. 2.4902 [ 2, 3]
22. 0.7343 [ 0, 1]
23. 2.5162 [ 2, 3]
24. 1.4382 [ 1, 2]
25. 6.7386 [ 6, 7]
26. 4.6657 [ 4, 5]
27. 1.5960 [ 1, 2]
28.-8.0905 [-9,-8]
29.12.4096 [12,13]
30.-0.9636 [-1, 0]
31. 5.7898 [ 5, 6]
32. 0.1810 [ 0, 1]
33.-0.4022 [-1, 0]
34. 0.8826 [ 0, 1]
35.10.0275 [10,11]
36.-8.6591 [-9,-8]
37. 2.1906 [ 2, 3]
38. 1.2202 [ 1, 2]
39.-3.1553 [-4,-3]
40. 2.6005 [ 2, 3]
